 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:     101
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.283E+01     0.107E-03    -0.127E-03    -0.147E-03    -0.781E-04
    -0.283E+01     0.106E-03    -0.127E-03    -0.152E-03    -0.674E-04
    -0.282E+01     0.106E-03    -0.127E-03    -0.156E-03    -0.564E-04
    -0.281E+01     0.106E-03    -0.127E-03    -0.159E-03    -0.453E-04
    -0.281E+01     0.106E-03    -0.127E-03    -0.162E-03    -0.341E-04
    -0.280E+01     0.106E-03    -0.126E-03    -0.163E-03    -0.230E-04
    -0.279E+01     0.106E-03    -0.126E-03    -0.164E-03    -0.119E-04
    -0.279E+01     0.105E-03    -0.126E-03    -0.164E-03    -0.980E-06
    -0.278E+01     0.105E-03    -0.126E-03    -0.163E-03     0.978E-05
    -0.278E+01     0.105E-03    -0.125E-03    -0.162E-03     0.203E-04
    -0.277E+01     0.104E-03    -0.125E-03    -0.160E-03     0.306E-04
    -0.276E+01     0.104E-03    -0.124E-03    -0.157E-03     0.405E-04
    -0.276E+01     0.104E-03    -0.124E-03    -0.154E-03     0.501E-04
    -0.275E+01     0.103E-03    -0.124E-03    -0.150E-03     0.593E-04
    -0.274E+01     0.103E-03    -0.123E-03    -0.145E-03     0.680E-04
    -0.274E+01     0.103E-03    -0.123E-03    -0.141E-03     0.763E-04
    -0.273E+01     0.102E-03    -0.122E-03    -0.135E-03     0.842E-04
    -0.272E+01     0.102E-03    -0.122E-03    -0.130E-03     0.916E-04
    -0.272E+01     0.101E-03    -0.121E-03    -0.124E-03     0.985E-04
    -0.271E+01     0.101E-03    -0.121E-03    -0.117E-03     0.105E-03
    -0.270E+01     0.100E-03    -0.120E-03    -0.111E-03     0.111E-03
    -0.270E+01     0.999E-04    -0.119E-03    -0.104E-03     0.116E-03
    -0.269E+01     0.994E-04    -0.119E-03    -0.969E-04     0.121E-03
    -0.268E+01     0.988E-04    -0.118E-03    -0.897E-04     0.125E-03
    -0.268E+01     0.982E-04    -0.117E-03    -0.824E-04     0.129E-03
    -0.267E+01     0.977E-04    -0.117E-03    -0.750E-04     0.133E-03
    -0.266E+01     0.971E-04    -0.116E-03    -0.676E-04     0.135E-03
    -0.266E+01     0.965E-04    -0.115E-03    -0.601E-04     0.138E-03
    -0.265E+01     0.959E-04    -0.115E-03    -0.527E-04     0.140E-03
    -0.264E+01     0.953E-04    -0.114E-03    -0.452E-04     0.141E-03
    -0.264E+01     0.947E-04    -0.113E-03    -0.379E-04     0.143E-03
    -0.263E+01     0.941E-04    -0.112E-03    -0.306E-04     0.143E-03
    -0.262E+01     0.934E-04    -0.112E-03    -0.235E-04     0.144E-03
    -0.262E+01     0.928E-04    -0.111E-03    -0.165E-04     0.144E-03
