 IPDIAG_EXTFLD: external perturbations on the control surface
       lmpert:      61
      mthsurf:     960
 MODES
       m         rebin         imbin        rebout        imbout
    -0.236E+01     0.226E-04    -0.250E-03    -0.271E-03     0.352E-04
    -0.235E+01     0.142E-04    -0.256E-03    -0.270E-03     0.337E-04
    -0.234E+01     0.566E-05    -0.262E-03    -0.270E-03     0.325E-04
    -0.234E+01    -0.294E-05    -0.268E-03    -0.269E-03     0.315E-04
    -0.233E+01    -0.114E-04    -0.274E-03    -0.269E-03     0.310E-04
    -0.232E+01    -0.195E-04    -0.279E-03    -0.269E-03     0.308E-04
    -0.232E+01    -0.270E-04    -0.284E-03    -0.269E-03     0.310E-04
    -0.231E+01    -0.339E-04    -0.287E-03    -0.268E-03     0.316E-04
    -0.230E+01    -0.400E-04    -0.289E-03    -0.268E-03     0.326E-04
    -0.230E+01    -0.452E-04    -0.290E-03    -0.267E-03     0.338E-04
    -0.229E+01    -0.493E-04    -0.290E-03    -0.265E-03     0.353E-04
    -0.228E+01    -0.524E-04    -0.289E-03    -0.263E-03     0.370E-04
    -0.228E+01    -0.544E-04    -0.287E-03    -0.261E-03     0.387E-04
    -0.227E+01    -0.553E-04    -0.284E-03    -0.258E-03     0.404E-04
    -0.226E+01    -0.551E-04    -0.281E-03    -0.255E-03     0.421E-04
    -0.226E+01    -0.539E-04    -0.277E-03    -0.252E-03     0.437E-04
    -0.225E+01    -0.516E-04    -0.274E-03    -0.248E-03     0.450E-04
    -0.224E+01    -0.485E-04    -0.272E-03    -0.245E-03     0.462E-04
    -0.224E+01    -0.447E-04    -0.270E-03    -0.241E-03     0.471E-04
    -0.223E+01    -0.401E-04    -0.270E-03    -0.237E-03     0.477E-04
    -0.223E+01    -0.349E-04    -0.271E-03    -0.233E-03     0.481E-04
    -0.222E+01    -0.294E-04    -0.273E-03    -0.229E-03     0.482E-04
    -0.221E+01    -0.235E-04    -0.277E-03    -0.225E-03     0.482E-04
    -0.221E+01    -0.174E-04    -0.283E-03    -0.222E-03     0.479E-04
    -0.220E+01    -0.112E-04    -0.290E-03    -0.219E-03     0.477E-04
    -0.219E+01    -0.506E-05    -0.299E-03    -0.216E-03     0.473E-04
    -0.219E+01     0.950E-06    -0.310E-03    -0.214E-03     0.471E-04
    -0.218E+01     0.675E-05    -0.321E-03    -0.212E-03     0.469E-04
    -0.217E+01     0.123E-04    -0.334E-03    -0.211E-03     0.469E-04
    -0.217E+01     0.174E-04    -0.346E-03    -0.211E-03     0.472E-04
    -0.216E+01     0.223E-04    -0.359E-03    -0.210E-03     0.477E-04
    -0.215E+01     0.267E-04    -0.372E-03    -0.210E-03     0.485E-04
    -0.215E+01     0.307E-04    -0.383E-03    -0.210E-03     0.497E-04
    -0.214E+01     0.343E-04    -0.394E-03    -0.211E-03     0.513E-04
    -0.213E+01     0.376E-04    -0.403E-03    -0.211E-03     0.532E-04
    -0.213E+01     0.405E-04    -0.411E-03    -0.212E-03     0.554E-04
    -0.212E+01     0.431E-04    -0.416E-03    -0.212E-03     0.578E-04
    -0.211E+01     0.454E-04    -0.419E-03    -0.212E-03     0.605E-04
    -0.211E+01     0.476E-04    -0.420E-03    -0.212E-03     0.633E-04
    -0.210E+01     0.495E-04    -0.419E-03    -0.211E-03     0.663E-04
