             psi         ni[m^-3]         ne[m^-3]           ti[eV]           te[eV]        we[rad/s]
    7.880977E-01     7.702260E+17     7.702260E+17     2.533036E+01     2.533036E+01     5.453044E+04
    7.881505E-01     7.700613E+17     7.700613E+17     2.531794E+01     2.531794E+01     5.453044E+04
    7.882049E-01     7.698914E+17     7.698914E+17     2.530513E+01     2.530513E+01     5.453044E+04
    7.882595E-01     7.697211E+17     7.697211E+17     2.529230E+01     2.529230E+01     5.453044E+04
    7.883163E-01     7.695436E+17     7.695436E+17     2.527892E+01     2.527892E+01     5.453044E+04
    7.883735E-01     7.693651E+17     7.693651E+17     2.526548E+01     2.526548E+01     5.453044E+04
    7.884338E-01     7.691768E+17     7.691768E+17     2.525129E+01     2.525129E+01     5.453044E+04
    7.884947E-01     7.689866E+17     7.689866E+17     2.523698E+01     2.523698E+01     5.453044E+04
    7.885596E-01     7.687841E+17     7.687841E+17     2.522174E+01     2.522174E+01     5.453044E+04
    7.886262E-01     7.685762E+17     7.685762E+17     2.520611E+01     2.520611E+01     5.453044E+04
    7.886961E-01     7.683578E+17     7.683578E+17     2.518968E+01     2.518968E+01     5.453044E+04
    7.887703E-01     7.681260E+17     7.681260E+17     2.517226E+01     2.517226E+01     5.453044E+04
    7.888478E-01     7.678839E+17     7.678839E+17     2.515408E+01     2.515408E+01     5.453044E+04
    7.889303E-01     7.676262E+17     7.676262E+17     2.513473E+01     2.513473E+01     5.453044E+04
    7.890194E-01     7.673477E+17     7.673477E+17     2.511382E+01     2.511382E+01     5.453044E+04
    7.891147E-01     7.670499E+17     7.670499E+17     2.509148E+01     2.509148E+01     5.453044E+04
    7.892175E-01     7.667286E+17     7.667286E+17     2.506740E+01     2.506740E+01     5.453044E+04
    7.893294E-01     7.663791E+17     7.663791E+17     2.504121E+01     2.504121E+01     5.453044E+04
    7.894519E-01     7.659960E+17     7.659960E+17     2.501253E+01     2.501253E+01     5.453044E+04
    7.895869E-01     7.655740E+17     7.655740E+17     2.498095E+01     2.498095E+01     5.453044E+04
    7.897371E-01     7.651043E+17     7.651043E+17     2.494584E+01     2.494584E+01     5.453044E+04
    7.899071E-01     7.645727E+17     7.645727E+17     2.490613E+01     2.490613E+01     5.453044E+04
    7.900992E-01     7.639718E+17     7.639718E+17     2.486129E+01     2.486129E+01     5.453044E+04
    7.903199E-01     7.632812E+17     7.632812E+17     2.480982E+01     2.480982E+01     5.453044E+04
    7.905769E-01     7.624765E+17     7.624765E+17     2.474993E+01     2.474993E+01     5.453044E+04
    7.908801E-01     7.615272E+17     7.615272E+17     2.467939E+01     2.467939E+01     5.453044E+04
    7.912447E-01     7.603849E+17     7.603849E+17     2.459467E+01     2.459467E+01     5.453044E+04
    7.916913E-01     7.589853E+17     7.589853E+17     2.449111E+01     2.449111E+01     5.453044E+04
    7.922775E-01     7.571469E+17     7.571469E+17     2.435549E+01     2.435549E+01     5.453044E+04
    7.929884E-01     7.549153E+17     7.549153E+17     2.419146E+01     2.419146E+01     5.453044E+04
    7.939667E-01     7.518415E+17     7.518415E+17     2.396665E+01     2.396665E+01     5.453044E+04
    7.952909E-01     7.476744E+17     7.476744E+17     2.366388E+01     2.366388E+01     5.453044E+04
    7.972747E-01     7.414192E+17     7.414192E+17     2.321377E+01     2.321377E+01     5.453044E+04
    8.000725E-01     7.325702E+17     7.325702E+17     2.258590E+01     2.258590E+01     5.453044E+04
    8.042048E-01     7.194441E+17     7.194441E+17     2.167352E+01     2.167352E+01     5.453044E+04
    8.098257E-01     7.014809E+17     7.014809E+17     2.046120E+01     2.046120E+01     5.453044E+04
    8.168450E-01     6.788733E+17     6.788733E+17     1.899398E+01     1.899398E+01     5.453044E+04
    8.249415E-01     6.525537E+17     6.525537E+17     1.736635E+01     1.736635E+01     5.453044E+04
    8.337801E-01     6.235253E+17     6.235253E+17     1.566927E+01     1.566927E+01     5.453044E+04
    8.431507E-01     5.924120E+17     5.924120E+17     1.396155E+01     1.396155E+01     5.453044E+04
    8.527437E-01     5.601997E+17     5.601997E+17     1.231158E+01     1.231158E+01     5.453044E+04
    8.624618E-01     5.271960E+17     5.271960E+17     1.074227E+01     1.074227E+01     5.453044E+04
    8.722549E-01     4.935594E+17     4.935594E+17     9.265665E+00     9.265665E+00     5.453044E+04
    8.820415E-01     4.595656E+17     4.595656E+17     7.895955E+00     7.895955E+00     5.453044E+04
    8.917847E-01     4.253458E+17     4.253458E+17     6.638309E+00     6.638309E+00     5.453044E+04
    9.014802E-01     3.909202E+17     3.909202E+17     5.492591E+00     5.492591E+00     5.453044E+04
    9.110733E-01     3.564919E+17     3.564919E+17     4.463614E+00     4.463614E+00     5.453044E+04
    9.204858E-01     3.223576E+17     3.223576E+17     3.555935E+00     3.555935E+00     5.453044E+04
    9.297598E-01     2.883823E+17     2.883823E+17     2.761067E+00     2.761067E+00     5.453044E+04
    9.388379E-01     2.547951E+17     2.547951E+17     2.079301E+00     2.079301E+00     5.453044E+04
    9.474874E-01     2.224899E+17     2.224899E+17     1.519017E+00     1.519017E+00     5.453044E+04
    9.557936E-01     1.911880E+17     1.911880E+17     1.063546E+00     1.063546E+00     5.453044E+04
    9.636777E-01     1.612241E+17     1.612241E+17     7.065888E-01     7.065888E-01     5.453044E+04
    9.705051E-01     1.350772E+17     1.350772E+17     4.573100E-01     4.573100E-01     5.453044E+04
    9.765033E-01     1.119538E+17     1.119538E+17     2.844856E-01     2.844856E-01     5.453044E+04
    9.815524E-01     9.237879E+16     9.237879E+16     1.728332E-01     1.728332E-01     5.453044E+04
    9.854190E-01     7.731968E+16     7.731968E+16     1.085409E-01     1.085409E-01     5.453044E+04
    9.881760E-01     6.654642E+16     6.654642E+16     7.414335E-02     7.414335E-02     5.453044E+04
    9.902784E-01     5.831030E+16     5.831030E+16     5.444684E-02     5.444684E-02     5.453044E+04
    9.918499E-01     5.214293E+16     5.214293E+16     4.351971E-02     4.351971E-02     5.453044E+04
    9.930025E-01     4.761333E+16     4.761333E+16     3.763451E-02     3.763451E-02     5.453044E+04
    9.938910E-01     4.411767E+16     4.411767E+16     3.436886E-02     3.436886E-02     5.453044E+04
    9.946684E-01     4.105700E+16     4.105700E+16     3.245223E-02     3.245223E-02     5.453044E+04
    9.952471E-01     3.877683E+16     3.877683E+16     3.161734E-02     3.161734E-02     5.453044E+04
    9.957231E-01     3.690024E+16     3.690024E+16     3.132363E-02     3.132363E-02     5.453044E+04
    9.961235E-01     3.532112E+16     3.532112E+16     3.136131E-02     3.136131E-02     5.453044E+04
    9.964627E-01     3.398304E+16     3.398304E+16     3.160399E-02     3.160399E-02     5.453044E+04
    9.967556E-01     3.282701E+16     3.282701E+16     3.197451E-02     3.197451E-02     5.453044E+04
    9.970112E-01     3.181798E+16     3.181798E+16     3.242376E-02     3.242376E-02     5.453044E+04
