psi_n              ni(m-3)            ne(m-3)            ti(eV)             te(eV)             wexb(rad/s)
2.444889780E-01    1.258164570E+21    1.258164570E+21    8.021276600E+01    8.021276600E+01    2.991068142E+03 
2.464929860E-01    1.256035180E+21    1.256035180E+21    8.013562610E+01    8.013562610E+01    2.983134268E+03 
2.484969940E-01    1.253905790E+21    1.253905790E+21    8.005822420E+01    8.005822420E+01    2.975200394E+03 
2.505010020E-01    1.251776400E+21    1.251776400E+21    7.998055890E+01    7.998055890E+01    2.967266536E+03 
2.525050100E-01    1.249647010E+21    1.249647010E+21    7.990262900E+01    7.990262900E+01    2.959332678E+03 
2.545090180E-01    1.247517630E+21    1.247517630E+21    7.982443310E+01    7.982443310E+01    2.951398804E+03 
2.565130260E-01    1.245388240E+21    1.245388240E+21    7.974596970E+01    7.974596970E+01    2.943464930E+03 
2.585170340E-01    1.243258850E+21    1.243258850E+21    7.966723760E+01    7.966723760E+01    2.935531056E+03 
2.605210420E-01    1.241129460E+21    1.241129460E+21    7.958823530E+01    7.958823530E+01    2.927597182E+03 
2.625250500E-01    1.239000070E+21    1.239000070E+21    7.950896150E+01    7.950896150E+01    2.919663324E+03 
2.645290580E-01    1.236870680E+21    1.236870680E+21    7.942941470E+01    7.942941470E+01    2.911729466E+03 
2.665330660E-01    1.234741290E+21    1.234741290E+21    7.934959350E+01    7.934959350E+01    2.903795592E+03 
2.685370740E-01    1.232611900E+21    1.232611900E+21    7.926949650E+01    7.926949650E+01    2.895861718E+03 
2.705410820E-01    1.230482520E+21    1.230482520E+21    7.918912240E+01    7.918912240E+01    2.887927860E+03 
2.725450900E-01    1.228353130E+21    1.228353130E+21    7.910846950E+01    7.910846950E+01    2.879993986E+03 
2.745490980E-01    1.226223740E+21    1.226223740E+21    7.902753660E+01    7.902753660E+01    2.872060112E+03 
2.765531060E-01    1.224094350E+21    1.224094350E+21    7.894632210E+01    7.894632210E+01    2.864126254E+03 
2.785571140E-01    1.221964960E+21    1.221964960E+21    7.886482450E+01    7.886482450E+01    2.856192381E+03 
2.805611220E-01    1.219835570E+21    1.219835570E+21    7.878304240E+01    7.878304240E+01    2.848258523E+03 
2.825651300E-01    1.217706180E+21    1.217706180E+21    7.870097430E+01    7.870097430E+01    2.840324649E+03 
2.845691380E-01    1.215576790E+21    1.215576790E+21    7.861861860E+01    7.861861860E+01    2.832390775E+03 
2.865731460E-01    1.213447400E+21    1.213447400E+21    7.853597390E+01    7.853597390E+01    2.824456917E+03 
2.885771540E-01    1.211318020E+21    1.211318020E+21    7.845303870E+01    7.845303870E+01    2.816523043E+03 
2.905811620E-01    1.209188630E+21    1.209188630E+21    7.836981130E+01    7.836981130E+01    2.808589185E+03 
2.925851700E-01    1.207059240E+21    1.207059240E+21    7.828629030E+01    7.828629030E+01    2.800655311E+03 
2.945891780E-01    1.204929850E+21    1.204929850E+21    7.820247410E+01    7.820247410E+01    2.792721437E+03 
2.965931860E-01    1.202800460E+21    1.202800460E+21    7.811836120E+01    7.811836120E+01    2.784787579E+03 
