

  ylabel = xi^psi_m

                      psi                      m=1                      m=2                      m=3                      m=4                      m=5                      m=6                      m=7                      m=8
          2.543474162E-04          3.488088823E-05          1.217570563E-06          2.003945210E-07          2.568517628E-08          4.506181787E-09          1.729069003E-09          5.662393817E-10          3.436019645E-11
          2.583000702E-04          3.554180629E-05          1.244172717E-06          2.015618851E-07          2.557024714E-08          4.751994827E-09          1.769566358E-09          5.453064562E-10          2.707333443E-11
          2.622527242E-04          3.619740513E-05          1.270676100E-06          2.026992808E-07          2.545277847E-08          4.989340395E-09          1.807735397E-09          5.239588682E-10          1.989931138E-11
          2.666591937E-04          3.692216024E-05          1.300111177E-06          2.039342850E-07          2.531941993E-08          5.244403448E-09          1.847679934E-09          4.997829445E-10          1.213301420E-11
          2.710656632E-04          3.764062358E-05          1.329434349E-06          2.051367635E-07          2.518410422E-08          5.489895232E-09          1.885020407E-09          4.753176366E-10          5.223502429E-12
          2.754721327E-04          3.835294143E-05          1.358650879E-06          2.063087353E-07          2.504736242E-08          5.726298353E-09          1.919899390E-09          4.506626165E-10          5.499028226E-12
          2.798786022E-04          3.905924674E-05          1.387765737E-06          2.074519425E-07          2.490966511E-08          5.954079950E-09          1.952452546E-09          4.259058008E-10          1.222564275E-11
          2.842850717E-04          3.975966041E-05          1.416783626E-06          2.085678816E-07          2.477142900E-08          6.173690866E-09          1.982808774E-09          4.011246600E-10          1.944024943E-11
          2.891499263E-04          4.052622396E-05          1.448712837E-06          2.097697685E-07          2.461862855E-08          6.407178004E-09          2.013918030E-09          3.738189917E-10          2.735363612E-11
          2.892499263E-04          4.054190672E-05          1.449367996E-06          2.097941458E-07          2.461548867E-08          6.411880683E-09          2.014531590E-09          3.732588769E-10          2.751478092E-11
          2.893499263E-04          4.055758656E-05          1.450023110E-06          2.098185104E-07          2.461234890E-08          6.416579621E-09          2.015144149E-09          3.726988195E-10          2.767585728E-11
          2.910857746E-04          4.082932662E-05          1.461388156E-06          2.102395411E-07          2.455786762E-08          6.497589086E-09          2.025628331E-09          3.629866386E-10          3.046135736E-11
          2.928216229E-04          4.110019293E-05          1.472739844E-06          2.106567899E-07          2.450343559E-08          6.577496755E-09          2.035818013E-09          3.532951362E-10          3.322451406E-11
          2.945574713E-04          4.137019095E-05          1.484078416E-06          2.110703103E-07          2.444906980E-08          6.656326832E-09          2.045719823E-09          3.436274284E-10          3.596414659E-11
          2.976467182E-04          4.184856686E-05          1.504225622E-06          2.117971601E-07          2.435252540E-08          6.794020459E-09          2.062648085E-09          3.264891808E-10          4.077910958E-11
