 IPEC_PMODB_CHEBYSHEV: Chebyshev coefficients for perturbed mod b
 
       nche =  20      mpert =  33
 
 mfac =  -12
      3  -3.23769271E-07   3.23861626E-07
      4   6.02054442E-07  -6.27270678E-07
      5   1.09525844E-06  -1.11277309E-06
      6   1.27163746E-06  -1.26626788E-06
      7   1.27000517E-06  -1.28154704E-06
      8   1.20399485E-06  -1.25319407E-06
      9   1.13077983E-06  -1.19748684E-06
     10   1.03826478E-06  -1.10716836E-06
     11   8.88402990E-07  -9.34692808E-07
     12   6.65881771E-07  -6.58220069E-07
     13   3.84200802E-07  -3.40880979E-07
     14   8.08210135E-08  -3.97758655E-08
     15  -1.98987366E-07   2.23684921E-07
     16  -4.28468846E-07   4.18537609E-07
     17  -5.93552541E-07   5.45906594E-07
     18  -6.95160062E-07   6.37063918E-07
     19  -7.50224991E-07   6.86013573E-07
     20  -7.54797539E-07   6.71546759E-07
 
 mfac =   17
 
   chea       real(chea)       imag(chea)
      0  -1.44957439E-06   1.51573533E-06
      1  -2.49644147E-06   2.60859965E-06
      2  -1.49765755E-06   1.55494349E-06
      3  -3.66526013E-07   3.58263233E-07
      4   5.14685346E-07  -5.54733652E-07
      5   1.01795566E-06  -1.04352220E-06
      6   1.20504214E-06  -1.21254197E-06
      7   1.20733859E-06  -1.22697062E-06
      8   1.13404026E-06  -1.18780292E-06
      9   1.04538968E-06  -1.11494047E-06
     10   9.43551022E-07  -9.97361022E-07
     11   7.97049981E-07  -8.24519930E-07
     12   5.89167526E-07  -5.86331946E-07
     13   3.34768829E-07  -2.95651880E-07
     14   6.36070356E-08  -4.69855807E-09
     15  -1.89763269E-07   2.26141789E-07
     16  -3.97062033E-07   3.88667921E-07
     17  -5.44847298E-07   5.08821718E-07
     18  -6.35345953E-07   5.91823778E-07
     19  -6.81419749E-07   6.24591215E-07
     20  -6.77802851E-07   6.00197798E-07
 
 mfac =   18
 
   chea       real(chea)       imag(chea)
      0  -1.33621990E-06   1.38589642E-06
      1  -2.33704116E-06   2.41128814E-06
      2  -1.47294651E-06   1.48887393E-06
      3  -4.28976290E-07   3.98107362E-07
      4   4.37428995E-07  -4.78206935E-07
      5   9.63370482E-07  -9.87641121E-07
      6   1.18494299E-06  -1.19020644E-06
      7   1.21356206E-06  -1.21445200E-06
      8   1.14970554E-06  -1.16085129E-06
      9   1.04187777E-06  -1.06701686E-06
     10   9.03647967E-07  -9.27197225E-07
     11   7.40508699E-07  -7.40852119E-07
     12   5.39872721E-07  -5.08970443E-07
     13   2.87703302E-07  -2.34785098E-07
     14   1.38926544E-08   3.75243473E-08
     15  -2.22316562E-07   2.48521521E-07
     16  -4.03306561E-07   3.94057164E-07
     17  -5.40833503E-07   4.98859455E-07
     18  -6.27569371E-07   5.60040501E-07
     19  -6.55638005E-07   5.73431968E-07
     20  -6.27873220E-07   5.41501481E-07
 
 mfac =   19
 
   chea       real(chea)       imag(chea)
      0  -1.25303573E-06   1.29057966E-06
      1  -2.22488519E-06   2.26439514E-06
      2  -1.46994821E-06   1.44991997E-06
      3  -5.07179630E-07   4.60478317E-07
      4   3.39924623E-07  -3.85506677E-07
      5   8.91734297E-07  -9.22046045E-07
      6   1.15629507E-06  -1.16214197E-06
      7   1.22876843E-06  -1.21490773E-06
      8   1.18942982E-06  -1.16711330E-06
      9   1.07641148E-06  -1.05704143E-06
     10   9.15863050E-07  -9.05393094E-07
     11   7.38241126E-07  -7.12107897E-07
     12   5.36748388E-07  -4.74225080E-07
     13   2.79886883E-07  -2.10399257E-07
     14  -1.48065048E-09   4.49606024E-08
     15  -2.34116735E-07   2.52723754E-07
     16  -4.06209662E-07   3.97704643E-07
     17  -5.44903506E-07   4.92290089E-07
     18  -6.36603192E-07   5.45640626E-07
     19  -6.58781563E-07   5.52759412E-07
     20  -6.17696089E-07   5.13993487E-07
 
 mfac =   20
 
   chea       real(chea)       imag(chea)
      0  -1.16102906E-06   1.19751009E-06
      1  -2.08271232E-06   2.12400981E-06
      2  -1.42902382E-06   1.41539142E-06
      3  -5.65823294E-07   5.22492547E-07
      4   2.32692452E-07  -2.82868448E-07
      5   7.90882225E-07  -8.30183681E-07
      6   1.09167206E-06  -1.10553449E-06
      7   1.20508150E-06  -1.19717324E-06
      8   1.19289480E-06  -1.17286933E-06
      9   1.08996269E-06  -1.06354389E-06
     10   9.29402135E-07  -9.04740059E-07
     11   7.47149877E-07  -7.11080831E-07
     12   5.42438316E-07  -4.77942513E-07
     13   2.87464134E-07  -2.20502453E-07
     14   1.12427590E-08   3.02528570E-08
     15  -2.20171593E-07   2.37655454E-07
     16  -3.95554232E-07   3.83292969E-07
     17  -5.37063632E-07   4.80969777E-07
     18  -6.32360822E-07   5.40347504E-07
     19  -6.56683170E-07   5.49374655E-07
     20  -6.16601748E-07   5.08264940E-07
 
