 IPEC_PMODB_CHETEST: Reconstructed perturbed mod b by chebyshev
 
    jac_out = boozer  
      cstep =    200      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)
   5.94514532E-02  -11  -1.69642695E-07   1.65443533E-07
   5.94514532E-02  -10  -1.60923254E-07   2.43854480E-07
   5.94514532E-02   -9  -2.26110258E-07   2.81975363E-07
   5.94514532E-02   -8  -2.29574173E-07   3.20821483E-07
   5.94514532E-02   -7  -2.36172712E-07   3.39751487E-07
   5.94514532E-02   -6  -4.20986320E-07   5.03190145E-07
   5.94514532E-02   -5  -7.74469456E-07   7.73528691E-07
   5.94514532E-02   -4  -6.80620405E-07   1.26931983E-06
   5.94514532E-02   -3   8.48010829E-07   1.68912091E-07
   5.94514532E-02   -2   2.83919043E-06  -9.92241754E-06
   5.94514532E-02   -1   4.84038189E-05  -1.04564209E-04
   5.94514532E-02    0  -6.50308318E-04   1.69500959E-03
   5.94514532E-02    1   3.21023500E-05  -2.68251096E-05
   5.94514532E-02    2  -3.22926349E-05   8.64966288E-05
   5.94514532E-02    3  -1.60380241E-06   8.86763699E-06
   5.94514532E-02    4  -7.00785575E-06   6.14495201E-06
   5.94514532E-02    5   1.70035325E-06  -2.24751425E-06
   5.94514532E-02    6   7.35956200E-06  -8.06149048E-06
   5.94514532E-02    7   3.56787443E-06  -2.64001208E-06
   5.94514532E-02    8   3.00954059E-06  -2.90144722E-06
   5.94514532E-02    9   1.62076738E-06  -1.54744527E-06
   5.94514532E-02   10   9.86620555E-07  -1.21851637E-06
   5.94514532E-02   11   7.31804036E-07  -7.65876294E-07
   5.94514532E-02   12   5.26704820E-07  -5.47510655E-07
   5.94514532E-02   13   3.94585318E-07  -4.24347205E-07
   5.94514532E-02   14   3.45410427E-07  -3.21618663E-07
   5.94514532E-02   15   2.98180399E-07  -2.93313029E-07
   5.94514532E-02   16   2.82010238E-07  -2.66708864E-07
   5.94514532E-02   17   2.79468478E-07  -2.57957311E-07
   5.94514532E-02   18   2.31260132E-07  -2.59277367E-07
   5.94514532E-02   19   2.24391567E-07  -1.57625111E-07
   5.94514532E-02   20   9.91927327E-08  -1.09665312E-07
   6.43974076E-02  -12  -1.08187485E-07   8.45032247E-08
   6.43974076E-02  -11  -1.00814210E-07   9.92006396E-08
   6.43974076E-02  -10  -9.61856331E-08   1.45933984E-07
   6.43974076E-02   -9  -1.32435786E-07   1.68718664E-07
