
   ising   psi         q          di      re alpha   im alpha

     1  2.919E-01  2.000E+00 -6.223E-01  7.889E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  206  5.949E-04  7.932E-06  1.435E+00  5.652E-01  3.263E-02
  207  6.028E-04  7.932E-06  1.435E+00  5.652E-01  3.315E-02
  208  6.107E-04  7.932E-06  1.435E+00  5.652E-01  3.367E-02
  209  6.187E-04  7.932E-06  1.435E+00  5.652E-01  3.420E-02
  210  6.266E-04  7.932E-06  1.435E+00  5.652E-01  3.472E-02
  211  6.345E-04  7.932E-06  1.435E+00  5.651E-01  3.524E-02
  212  6.410E-04  6.490E-06  1.435E+00  5.651E-01  3.567E-02
  213  6.475E-04  6.490E-06  1.435E+00  5.651E-01  3.610E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    214, psi = 6.540E-04, q =  1.435

   is    psifac      dpsi        q       singfac     eval1

  214  6.540E-04  6.490E-06  1.435E+00  5.651E-01  3.652E-02
  215  6.541E-04  1.000E-07  1.435E+00  5.651E-01  3.653E-02
  216  6.542E-04  1.000E-07  1.435E+00  5.651E-01  3.654E-02
  217  6.561E-04  1.943E-06  1.435E+00  5.651E-01  3.667E-02
  218  6.577E-04  1.603E-06  1.435E+00  5.651E-01  3.677E-02
  219  6.593E-04  1.603E-06  1.435E+00  5.651E-01  3.688E-02
  220  6.610E-04  1.603E-06  1.435E+00  5.651E-01  3.698E-02
  221  6.642E-04  3.206E-06  1.435E+00  5.651E-01  3.719E-02
  222  6.674E-04  3.206E-06  1.435E+00  5.651E-01  3.740E-02
  223  6.706E-04  3.206E-06  1.435E+00  5.651E-01  3.762E-02
  224  6.738E-04  3.206E-06  1.435E+00  5.651E-01  3.783E-02
  225  6.776E-04  3.813E-06  1.435E+00  5.651E-01  3.808E-02
  226  6.814E-04  3.813E-06  1.435E+00  5.651E-01  3.833E-02
  227  6.852E-04  3.813E-06  1.435E+00  5.651E-01  3.858E-02
  228  6.890E-04  3.813E-06  1.435E+00  5.651E-01  3.883E-02
  229  6.950E-04  5.953E-06  1.435E+00  5.651E-01  3.922E-02
  230  7.009E-04  5.953E-06  1.435E+00  5.650E-01  3.962E-02
  231  7.069E-04  5.953E-06  1.435E+00  5.650E-01  4.001E-02
  232  7.128E-04  5.953E-06  1.435E+00  5.650E-01  4.040E-02
  233  7.188E-04  5.953E-06  1.435E+00  5.650E-01  4.079E-02
  234  7.261E-04  7.341E-06  1.435E+00  5.650E-01  4.128E-02
  235  7.335E-04  7.341E-06  1.435E+00  5.650E-01  4.176E-02
  236  7.408E-04  7.341E-06  1.435E+00  5.650E-01  4.224E-02
  237  7.482E-04  7.341E-06  1.435E+00  5.650E-01  4.273E-02
  238  7.555E-04  7.341E-06  1.435E+00  5.650E-01  4.321E-02
  239  7.628E-04  7.341E-06  1.435E+00  5.650E-01  4.369E-02
  240  7.745E-04  1.164E-05  1.435E+00  5.649E-01  4.446E-02
  241  7.861E-04  1.164E-05  1.435E+00  5.649E-01  4.523E-02
  242  7.977E-04  1.164E-05  1.435E+00  5.649E-01  4.599E-02
  243  8.094E-04  1.164E-05  1.435E+00  5.649E-01  4.676E-02
  244  8.210E-04  1.164E-05  1.435E+00  5.649E-01  4.752E-02
  245  8.327E-04  1.164E-05  1.435E+00  5.649E-01  4.829E-02
  246  8.443E-04  1.164E-05  1.435E+00  5.648E-01  4.906E-02
  247  8.559E-04  1.164E-05  1.435E+00  5.648E-01  4.982E-02
  248  8.676E-04  1.164E-05  1.435E+00  5.648E-01  5.059E-02
  249  8.792E-04  1.164E-05  1.435E+00  5.648E-01  5.136E-02
  250  8.908E-04  1.164E-05  1.435E+00  5.648E-01  5.212E-02
  251  9.025E-04  1.164E-05  1.435E+00  5.648E-01  5.289E-02
  252  9.141E-04  1.164E-05  1.435E+00  5.647E-01  5.365E-02
  253  9.258E-04  1.164E-05  1.435E+00  5.647E-01  5.442E-02
