 IPEC_RESPONSE: Response parameters
 
      mpert =  33       mlow = -12      mhigh =  20
     psilim =  9.84344931E-01       qlim =  4.20000000E+00
 
 Energy for dcon eigenmodes
 
 mode          ev0          ev1          iv1          ep0          ep1          ep2          ep3          ep4          et0
   16   -1.330E-03    1.302E-03
   17   -7.501E-04    8.210E-04
   18   -9.368E-04    2.744E-04
   19    1.211E-03   -5.667E-05
   20    8.584E-04   -1.094E-05
 
 mode =  17
 eigenvalue =   2.692E-04
 
    m         real         imag
  -12    1.329E-02    2.393E-02
  -11   -6.465E-02   -5.473E-02
  -10    2.161E-01    8.021E-02
   -9   -5.204E-01   -7.971E-02
   -8    1.037E-01    6.055E-02
   -7    5.595E-02    1.604E-01
   -6    4.009E-01   -2.976E-01
   -5    3.534E-01    4.677E-01
   -4    8.384E-03   -4.809E-01
   -3   -9.239E-02    2.920E-01
   -2    3.100E-02   -3.196E-01
   -1   -1.095E-01    8.730E-02
    0    1.328E-01   -3.971E-02
    1   -7.352E-02    1.134E-02
    2    7.243E-02    6.140E-03
    3    2.348E-02    4.924E-04
