 IPEC_PMODB_CHEBYSHEV: Reconstructed perturbed mod b by chebyshev
 
    jac_out = hamada  
      cstep =    256      mpert =  33   mthsurf = 960
 
              psi    m       real(lagb)       imag(lagb)       real(divx)       imag(divx)
   1.64250883E-02  -10   3.22384331E-07   2.52600972E-07  -6.34665599E-07  -5.03547979E-07
   1.64250883E-02   -9   2.37737737E-07   3.40519240E-08  -7.02346507E-07  -3.22833510E-07
   1.64250883E-02   -8   5.05684258E-07   6.39925804E-07  -9.90443309E-07  -1.20612052E-06
   1.64250883E-02   -7   4.75715269E-07  -9.55709375E-08  -1.50116826E-06  -3.35293394E-07
   1.64250883E-02   -6   1.05413299E-07   2.13252615E-06  -1.40329073E-07  -4.02290313E-06
   1.64250883E-02   -5   7.85608688E-07  -1.39074953E-06  -2.01305880E-06   1.12506198E-06
   1.64250883E-02   -4  -5.01017408E-06   1.11768167E-05   1.00532379E-05  -2.12188708E-05
   1.64250883E-02   -3   3.09741798E-06  -5.55898513E-06  -4.20605464E-06   5.27550069E-06
   1.64250883E-02   -2  -3.70975479E-05   5.76706981E-05   7.30249536E-05  -1.14764532E-04
   1.64250883E-02   -1  -2.45352824E-06   1.94623519E-05  -5.60716432E-05   6.09952005E-05
   1.64250883E-02    0   1.28918750E-03  -2.03965067E-03  -1.90800581E-03   2.93186640E-03
   1.64250883E-02    1   9.28272653E-05  -1.61164481E-05  -3.36207964E-03   4.63344015E-03
   1.64250883E-02    2   1.20336975E-04  -1.30176840E-04  -3.19100786E-04   3.70810318E-04
   1.64250883E-02    3   1.31408357E-05   5.34090647E-06  -4.17405995E-05  -6.25433544E-06
   1.64250883E-02    4   7.30702181E-06   4.94281313E-06  -5.45517950E-05   4.98249277E-05
   1.64250883E-02    5  -1.13608453E-05  -1.04425566E-05   1.69779246E-05   2.42954974E-05
   1.64250883E-02    6  -1.08335710E-05  -1.15824607E-05   2.08816836E-05   2.45610731E-05
   1.64250883E-02    7  -6.60641457E-07  -6.03411693E-07   5.35298488E-06   6.58046329E-06
   1.64250883E-02    8  -2.46530970E-06  -1.92427061E-06   4.62988150E-06   3.93950186E-06
   1.64250883E-02    9   9.06805435E-07   5.58369116E-07   9.35319954E-08   6.20265134E-07
   1.64250883E-02   10  -1.53279072E-06  -6.85917364E-07   2.11613150E-06   1.30336391E-06
   1.64250883E-02   11   2.74026624E-07  -1.83733014E-07   4.41705316E-07   9.89347126E-07
   1.64250883E-02   12  -8.80491134E-07  -2.51942345E-07   1.37103156E-06   8.88567079E-07
   1.64250883E-02   13  -1.15754062E-07  -4.37568439E-07   7.27227645E-07   1.24580912E-06
   1.64250883E-02   14  -5.64441484E-07  -2.98421900E-07   1.07599494E-06   1.05418531E-06
   1.64250883E-02   15  -2.87151067E-07  -3.82282533E-07   8.50260496E-07   1.08716027E-06
   1.64250883E-02   16  -3.65006659E-07  -2.90523136E-07   8.14373303E-07   9.65033520E-07
   1.64250883E-02   17  -2.02907683E-07  -2.50002165E-07   5.52341008E-07   7.05965204E-07
   1.64250883E-02   18  -1.87616290E-07  -1.88700148E-07   4.95699781E-07   5.59611440E-07
   1.64250883E-02   19  -9.85418038E-08  -1.18864662E-07   2.70604673E-07   2.91096547E-07
   1.64250883E-02   20  -4.08964504E-09  -2.04356225E-08  -8.57879898E-07  -7.51342517E-07
   2.02813604E-02  -12   1.58384365E-07  -1.35604968E-07  -3.75810934E-07   2.37504164E-07
   2.02813604E-02  -11   1.52725901E-07  -9.34391061E-08  -4.20997282E-07  -1.98931291E-08
