
   ising   psi         q          di      re alpha   im alpha

     1  3.468E-01  2.000E+00 -4.985E-01  7.061E-01  0.000E+00


   is    psifac      dpsi        q       singfac     eval1

  228  7.155E-04  6.324E-06  1.430E+00  5.696E-01  3.441E-02
  229  7.218E-04  6.324E-06  1.430E+00  5.696E-01  3.477E-02
  230  7.281E-04  6.324E-06  1.430E+00  5.697E-01  3.512E-02
  231  7.344E-04  6.324E-06  1.430E+00  5.697E-01  3.547E-02
  232  7.408E-04  6.324E-06  1.430E+00  5.697E-01  3.583E-02
  233  7.487E-04  7.902E-06  1.430E+00  5.697E-01  3.627E-02
  234  7.566E-04  7.902E-06  1.430E+00  5.697E-01  3.671E-02
  235  7.645E-04  7.902E-06  1.430E+00  5.697E-01  3.715E-02
  236  7.724E-04  7.902E-06  1.430E+00  5.697E-01  3.759E-02
  237  7.803E-04  7.902E-06  1.430E+00  5.697E-01  3.803E-02
  238  7.882E-04  7.902E-06  1.430E+00  5.697E-01  3.847E-02
  239  8.007E-04  1.258E-05  1.430E+00  5.697E-01  3.918E-02
  240  8.133E-04  1.258E-05  1.430E+00  5.698E-01  3.988E-02
  241  8.259E-04  1.258E-05  1.430E+00  5.698E-01  4.058E-02
  242  8.385E-04  1.258E-05  1.430E+00  5.698E-01  4.128E-02
  243  8.511E-04  1.258E-05  1.430E+00  5.698E-01  4.199E-02
  244  8.637E-04  1.258E-05  1.430E+00  5.698E-01  4.269E-02
  245  8.762E-04  1.258E-05  1.430E+00  5.698E-01  4.339E-02
  246  8.888E-04  1.258E-05  1.430E+00  5.698E-01  4.409E-02
  247  9.014E-04  1.258E-05  1.430E+00  5.698E-01  4.480E-02
  248  9.140E-04  1.258E-05  1.430E+00  5.699E-01  4.550E-02
  249  9.266E-04  1.258E-05  1.430E+00  5.699E-01  4.620E-02
  250  9.391E-04  1.258E-05  1.430E+00  5.699E-01  4.690E-02
  251  9.517E-04  1.258E-05  1.430E+00  5.699E-01  4.761E-02
  252  9.643E-04  1.258E-05  1.430E+00  5.699E-01  4.831E-02
  253  9.769E-04  1.258E-05  1.430E+00  5.699E-01  4.901E-02
  254  9.895E-04  1.258E-05  1.430E+00  5.699E-01  4.971E-02
  255  1.002E-03  1.258E-05  1.430E+00  5.699E-01  5.041E-02
  256  1.015E-03  1.258E-05  1.430E+00  5.700E-01  5.112E-02
  257  1.027E-03  1.258E-05  1.430E+00  5.700E-01  5.182E-02

   is    psifac      dpsi        q       singfac     eval1

 Gaussian Reduction at istep =    258, psi = 1.040E-03, q =  1.430

   is    psifac      dpsi        q       singfac     eval1

  258  1.040E-03  1.258E-05  1.430E+00  5.700E-01  5.252E-02
  259  1.040E-03  1.000E-07  1.430E+00  5.700E-01  5.253E-02
  260  1.040E-03  1.000E-07  1.430E+00  5.700E-01  5.253E-02
  261  1.042E-03  1.670E-06  1.430E+00  5.700E-01  5.262E-02
  262  1.043E-03  1.670E-06  1.430E+00  5.700E-01  5.272E-02
  263  1.045E-03  1.670E-06  1.430E+00  5.700E-01  5.281E-02
  264  1.051E-03  5.895E-06  1.430E+00  5.700E-01  5.314E-02
  265  1.057E-03  5.895E-06  1.430E+00  5.700E-01  5.347E-02
  266  1.063E-03  5.895E-06  1.430E+00  5.700E-01  5.380E-02
  267  1.069E-03  5.895E-06  1.430E+00  5.700E-01  5.413E-02
  268  1.075E-03  6.735E-06  1.430E+00  5.700E-01  5.450E-02
  269  1.082E-03  6.735E-06  1.430E+00  5.700E-01  5.488E-02
  270  1.089E-03  6.735E-06  1.430E+00  5.700E-01  5.525E-02
  271  1.096E-03  6.735E-06  1.430E+00  5.700E-01  5.563E-02
  272  1.102E-03  6.735E-06  1.430E+00  5.700E-01  5.600E-02
  273  1.113E-03  1.074E-05  1.430E+00  5.700E-01  5.660E-02
  274  1.124E-03  1.074E-05  1.430E+00  5.700E-01  5.720E-02
  275  1.134E-03  1.074E-05  1.430E+00  5.700E-01  5.780E-02
